millis;pwm fill factor;sensor distance in mm
17988;0.69;50
17999;0.69;44
18011;0.69;41
18021;0.69;38
18032;0.69;38
18043;0.69;34
18055;0.69;31
18066;0.53;28
18077;0.53;24
18087;0.53;22
18099;0.53;21
18110;0.53;23
18121;0.53;23
18132;0.53;24
18144;0.53;23
18154;0.53;25
18165;0.53;24
18177;0.53;25
18188;0.53;25
18199;0.53;25
18210;0.53;25
18221;0.53;23
18232;0.53;25
18243;0.53;24
18254;0.53;28
18266;0.53;26
18277;0.53;28
18287;0.53;27
18298;0.53;31
18310;0.53;33
18321;0.53;31
18332;0.53;32
18343;0.53;33
18354;0.53;35
18365;0.53;35
18376;0.53;37
18387;0.53;39
18399;0.53;39
18410;0.53;43
18420;0.53;42
18432;0.53;43
